ID,dataset,split,premise,hypothesis,gold_label,annotator_count,all_present_exact_match,Alternative_KB,Ettore_KB,Jorryt_KB,Lasha_KB,Stefan_KB,Ettore_Jorryt_match,Ettore_Lasha_match,Ettore_Stefan_match,Jorryt_Lasha_match,Jorryt_Stefan_match,Lasha_Stefan_match,LLM__lex_few_shot_precision__openai_gpt-5.4-mini_raw_response,LLM__lex_few_shot_precision__openai_gpt-5.4-mini_KB,LLM__lex_few_shot_precision__openai_gpt-5.4-mini_error,LLM__lex_few_shot_precision__anthropic_claude-haiku-4.5_raw_response,LLM__lex_few_shot_precision__anthropic_claude-haiku-4.5_KB,LLM__lex_few_shot_precision__anthropic_claude-haiku-4.5_error,LLM__lex_few_shot_precision__google_gemini-3.1-flash-lite_raw_response,LLM__lex_few_shot_precision__google_gemini-3.1-flash-lite_KB,LLM__lex_few_shot_precision__google_gemini-3.1-flash-lite_error,LLM__lex_few_shot_precision__openai_gpt-oss-20b_raw_response,LLM__lex_few_shot_precision__openai_gpt-oss-20b_KB,LLM__lex_few_shot_precision__openai_gpt-oss-20b_error,LLM__lex_few_shot_base__openai_gpt-5.4-mini_raw_response,LLM__lex_few_shot_base__openai_gpt-5.4-mini_KB,LLM__lex_few_shot_base__openai_gpt-5.4-mini_error,LLM__lex_few_shot_base__anthropic_claude-haiku-4.5_raw_response,LLM__lex_few_shot_base__anthropic_claude-haiku-4.5_KB,LLM__lex_few_shot_base__anthropic_claude-haiku-4.5_error,LLM__lex_few_shot_base__google_gemini-3.1-flash-lite_raw_response,LLM__lex_few_shot_base__google_gemini-3.1-flash-lite_KB,LLM__lex_few_shot_base__google_gemini-3.1-flash-lite_error,LLM__lex_few_shot_base__openai_gpt-oss-20b_raw_response,LLM__lex_few_shot_base__openai_gpt-oss-20b_KB,LLM__lex_few_shot_base__openai_gpt-oss-20b_error
3054989420.jpg#0r1e,snli,dev,Two children throw dead leaves into the air around them.,The children are outside.,entailment,2,TRUE,,NO_RELATION,NO_RELATION,,NO_RELATION,TRUE,,TRUE,,TRUE,,answer: non-entailment,NO_RELATION,,"answer: non-entailment

relations: { }

explanation: While the premise describes children throwing leaves into the air, this activity does not necessarily entail that they are outside. Children could theoretically throw leaves indoors (e.g., in a gymnasium, indoor play facility, or even in a house). The premise provides no explicit information about location. Therefore, the hypothesis does not necessarily follow from the premise.",NO_RELATION,,"answer: entailment
relations: { }",NO_RELATION,,"answer: entailment
relations: { }",NO_RELATION,,answer: non-entailment,NO_RELATION,,"answer: entailment
relations: { entails(throw dead leaf into air, be outside) }","isa_wn(throw dead leaf into air, be outside)",,"answer: entailment
relations: { entails(throw dead leaf into air, be outside) }","isa_wn(throw dead leaf into air, be outside)",,"**Answer**: entailment  
**Relations**: { }",NO_RELATION,
3101378069.jpg#4r1e,snli,dev,A lady rows a canoe filled with things.,A woman rows a small boat loaded with items.,entailment,3,TRUE,,,"(canoe, small boat); (lady, woman); (filled, loaded); (thing, item)","(canoe, small boat); (filled, loaded); (lady, woman); (thing, item)","(canoe, small boat); (lady, woman); (thing, item); (filled, loaded)",,,,FALSE,FALSE,FALSE,"answer: entailment
relations: { entails(lady, woman), entails(canoe, small boat), entails(filled with things, loaded with items) }","isa_wn(lady, woman); isa_wn(canoe, small boat); isa_wn(filled with things, loaded with items)",,"answer: entailment
relations: { entails(lady, woman), entails(canoe, small boat), entails(thing, item) }","isa_wn(lady, woman); isa_wn(canoe, small boat); isa_wn(thing, item)",,"answer: entailment
relations: { entails(lady, woman), entails(canoe, small boat), entails(thing, item) }","isa_wn(lady, woman); isa_wn(canoe, small boat); isa_wn(thing, item)",,"answer: entailment  
relations: { entails(lady, woman), entails(canoe, small boat), entails(fill, load), entails(thing, item) }","isa_wn(lady, woman); isa_wn(canoe, small boat); isa_wn(fill, load); isa_wn(thing, item)",,"answer: entailment
relations: { entails(lady, woman), entails(canoe, small boat), entails(filled with things, loaded with items) }","isa_wn(lady, woman); isa_wn(canoe, small boat); isa_wn(filled with things, loaded with items)",,"answer: entailment
relations: { entails(lady, woman), entails(canoe, small boat), entails(thing, item) }","isa_wn(lady, woman); isa_wn(canoe, small boat); isa_wn(thing, item)",,"answer: entailment
relations: { entails(lady, woman), entails(canoe, small boat), entails(thing, item) }","isa_wn(lady, woman); isa_wn(canoe, small boat); isa_wn(thing, item)",,"answer: entailment  
relations: { entails(lady, woman), entails(canoe, small boat), entails(filled, loaded), entails(thing, item) }","isa_wn(lady, woman); isa_wn(canoe, small boat); isa_wn(filled, loaded); isa_wn(thing, item)",
3134092148.jpg#3r2e,snli,train,A man surfing a wave.,A man catches a wave.,entailment,3,TRUE,,,NO_RELATION,NO_RELATION,NO_RELATION,,,,TRUE,FALSE,FALSE,answer: non-entailment,NO_RELATION,,"answer: non-entailment

relations: { }

explanation: While both sentences involve a man and a wave, ""surfing a wave"" does not entail ""catches a wave."" Surfing involves riding on a wave that is already in motion, whereas catching a wave involves the action of positioning oneself to begin surfing. These describe different phases of wave interaction. The premise does not necessarily imply that the man is in the process of catching the wave—he may already be surfing it. Therefore, the hypothesis does not logically follow from the premise.",NO_RELATION,,answer: non-entailment,NO_RELATION,,"answer: entailment
relations: { entails(surf, catch) }","isa_wn(surf, catch)",,answer: non-entailment,NO_RELATION,,"answer: entailment
relations: { entails(surf, catch) }

explanation: The premise states that a man is surfing a wave. Surfing a wave necessarily involves catching the wave first, as one must catch a wave in order to surf it. Therefore, the lexical entailment relation entails(surf, catch) explains why the hypothesis follows from the premise.","isa_wn(surf, catch); isa_wn(surf, catch)",,"answer: entailment
relations: { entails(surf, catch) }","isa_wn(surf, catch)",,"answer: entailment
relations: { entails(surf, catch) }","isa_wn(surf, catch)",
3168293517.jpg#2r1e,snli,dev,A little boy in a blue shirt holding a toy.,Boy dressed in blue holds a toy.,entailment,2,TRUE,,NO_RELATION,NO_RELATION,,NO_RELATION,TRUE,,TRUE,,TRUE,,"answer: entailment
relations: { entails(in a blue shirt, dressed in blue), entails(holding, holds) }","isa_wn(in a blue shirt, dressed in blue); isa_wn(holding, holds)",,"answer: entailment
relations: { entails(little boy, boy) }","isa_wn(little boy, boy)",,"answer: entailment
relations: { }",NO_RELATION,,"answer: entailment  
relations: { entails(blue shirt, blue clothing) }","isa_wn(blue shirt, blue clothing)",,"answer: entailment
relations: { entails(in a blue shirt, dressed in blue) }","isa_wn(in a blue shirt, dressed in blue)",,"answer: entailment
relations: { entails(little boy, boy), entails(blue shirt, blue clothing) }","isa_wn(little boy, boy); isa_wn(blue shirt, blue clothing)",,"answer: entailment
relations: { }",NO_RELATION,,"answer: entailment  
relations: { }",NO_RELATION,
3232994074.jpg#4r1e,snli,dev,A man and child working on a puzzle.,An adult and a kid are engaged in an activity.,entailment,3,TRUE,,,"(child, kid); (man, adult)","(child, kid); (man, adult)","(man, adult); (child, kid)",,,,FALSE,FALSE,FALSE,"answer: entailment  
relations: { entails(man, adult), entails(child, kid), entails(working on a puzzle, engaged in an activity) }","isa_wn(man, adult); isa_wn(child, kid); isa_wn(working on a puzzle, engaged in an activity)",,"answer: entailment
relations: { entails(man, adult), entails(child, kid), entails(puzzle, activity) }","isa_wn(man, adult); isa_wn(child, kid); isa_wn(puzzle, activity)",,"answer: entailment
relations: { entails(man, adult), entails(child, kid), entails(work on puzzle, engage in activity) }","isa_wn(man, adult); isa_wn(child, kid); isa_wn(work on puzzle, engage in activity)",,"**Answer:** entailment  
**Relations:** { entails(man, adult), entails(child, kid) }","isa_wn(man, adult); isa_wn(child, kid)",,"answer: entailment
relations: { entails(man, adult), entails(child, kid), entails(working on a puzzle, engaged in an activity) }","isa_wn(man, adult); isa_wn(child, kid); isa_wn(working on a puzzle, engaged in an activity)",,"answer: entailment
relations: { entails(man, adult), entails(child, kid), entails(puzzle, activity), entails(work on, engage in) }","isa_wn(man, adult); isa_wn(child, kid); isa_wn(puzzle, activity); isa_wn(work on, engage in)",,"answer: entailment
relations: { entails(man, adult), entails(child, kid), entails(work on puzzle, engage in activity) }","isa_wn(man, adult); isa_wn(child, kid); isa_wn(work on puzzle, engage in activity)",,"answer: entailment  
relations: { entails(man, adult), entails(child, kid), entails(puzzle, activity) }","isa_wn(man, adult); isa_wn(child, kid); isa_wn(puzzle, activity)",
3246724744.jpg#0r1e,snli,dev,A young woman wearing a black shirt and black shorts jumps in the air at the beach.,A women in black at the beach.,entailment,2,TRUE,,NO_RELATION,NO_RELATION,,NO_RELATION,TRUE,,TRUE,,TRUE,,answer: non-entailment,NO_RELATION,,"answer: non-entailment

explanation: The premise describes a young woman performing an action (jumping in the air), while the hypothesis describes a woman in a static state at the beach. More critically, the hypothesis uses ""women"" (plural), whereas the premise refers to ""a young woman"" (singular). The number mismatch is a logical barrier to entailment. Additionally, the hypothesis does not assert any action, only presence and location, which are not sufficient consequences of the premise's description of jumping.",NO_RELATION,,"answer: entailment
relations: { entails(young woman, woman) }","isa_wn(young woman, woman)",,"answer: entailment  
relations: { }",NO_RELATION,,"answer: entailment
relations: { entails(woman, women), entails(wear, in), entails(black shirt and black shorts, black) }","isa_wn(woman, women); isa_wn(wear, in); isa_wn(black shirt and black shorts, black)",,"answer: non-entailment

explanation: The premise states that a young woman performs an action (jumps in the air), while the hypothesis merely describes a woman in black at the beach without asserting any action. Additionally, the hypothesis uses ""women"" (plural) while the premise refers to ""a young woman"" (singular). The premise does not entail that the woman is simply present at the beach without performing any action—it specifically describes her as actively jumping. The mismatch in number (singular vs. plural) further prevents entailment.

relations: { }",NO_RELATION,,"answer: entailment
relations: { entails(young woman, woman) }","isa_wn(young woman, woman)",,"answer: entailment  
relations: { entails(black shirt and black shorts, black), entails(young woman, woman) }","isa_wn(black shirt and black shorts, black); isa_wn(young woman, woman)",
3375549004.jpg#4r1e,snli,dev,Men walk in line carrying things.,"While carrying their load, the men walked one behind the other.",entailment,2,TRUE,,NO_RELATION,NO_RELATION,,NO_RELATION,TRUE,,FALSE,,FALSE,,"answer: entailment  
relations: { entails(walk in line, walk one behind the other), entails(thing, load) }","isa_wn(walk in line, walk one behind the other); isa_wn(thing, load)",,"answer: entailment
relations: { entails(walk in line, walk one behind the other), entails(thing, load) }","isa_wn(walk in line, walk one behind the other); isa_wn(thing, load)",,"answer: entailment
relations: { entails(walk in line, walk one behind other), entails(thing, load) }","isa_wn(walk in line, walk one behind other); isa_wn(thing, load)",,"answer: entailment  
relations: {entails(line, one behind the other)}","isa_wn(line, one behind the other)",,"answer: entailment
relations: { entails(walk in line, walk one behind the other), entails(carry thing, carry load) }","isa_wn(walk in line, walk one behind the other); isa_wn(carry thing, carry load)",,"answer: entailment
relations: { entails(walk in line, walk one behind the other), entails(thing, load) }","isa_wn(walk in line, walk one behind the other); isa_wn(thing, load)",,"answer: entailment
relations: { entails(walk in line, walk one behind other), entails(thing, load) }","isa_wn(walk in line, walk one behind other); isa_wn(thing, load)",,"answer: entailment  
relations: { entails(thing, load) }","isa_wn(thing, load)",
3383037991.jpg#3r1e,snli,dev,A dog looks content sitting on a bed after ripping up some paper,a dog sitting on a bed after ripping up paper.,entailment,2,TRUE,,NO_RELATION,NO_RELATION,NO_RELATION,,TRUE,TRUE,,TRUE,,,"answer: entailment
relations: { }",NO_RELATION,,"answer: entailment
relations: { }

explanation: The hypothesis is entailed from the premise without requiring non-trivial lexical relations. The premise states that ""a dog looks content sitting on a bed after ripping up some paper,"" which directly describes a dog sitting on a bed after ripping up paper. The hypothesis simply omits the description ""looks content"" but retains all the essential information about the dog's location and action. The change from ""some paper"" to ""paper"" is a minor generalization that does not require lexical mediation.",NO_RELATION,,"answer: entailment
relations: { }",NO_RELATION,,"**answer:** entailment  
**relations:** { }",NO_RELATION,,"answer: entailment
relations: { }",NO_RELATION,,"answer: entailment
relations: { }

explanation: The hypothesis is a simplified, grammatically incomplete version of the premise that retains all the essential information. The premise states ""A dog looks content sitting on a bed after ripping up some paper,"" and the hypothesis states ""a dog sitting on a bed after ripping up paper."" The core predicate and all key semantic components are preserved: the dog, the action of sitting on a bed, and the prior action of ripping up paper. The only differences are the removal of ""looks content"" (which is an additional descriptive modifier) and the change from ""some paper"" to ""paper"" (which does not alter the core meaning). No non-trivial lexical entailments are required to explain why the premise entails the hypothesis.",NO_RELATION,,"answer: entailment
relations: { }",NO_RELATION,,"answer: entailment
relations: { }",NO_RELATION,
3424908564.jpg#1r1e,snli,dev,A woman with red-hair and wearing a black tank top and short jeans shorts appears to be yelling.,A woman with red-hair screams.,entailment,3,TRUE,,,"(yell, scream)","(yell, scream)","(yell, scream)",,,,TRUE,TRUE,TRUE,"answer: entailment
relations: { entails(appear to be yelling, scream) }","isa_wn(appear to be yelling, scream)",,"answer: entailment
relations: { entails(yell, scream) }","isa_wn(yell, scream)",,"answer: entailment
relations: { entails(yell, scream) }","isa_wn(yell, scream)",,answer: non-entailment,NO_RELATION,,answer: non-entailment,NO_RELATION,,"answer: entailment
relations: { entails(yell, scream) }","isa_wn(yell, scream)",,"answer: entailment
relations: { entails(yell, scream) }","isa_wn(yell, scream)",,"answer: entailment  
relations: { entails(yell, scream) }","isa_wn(yell, scream)",
3440104178.jpg#4r1e,snli,dev,A dog with big ears holds a ball in his mouth.,The dog has big ears.,entailment,2,TRUE,,NO_RELATION,NO_RELATION,,NO_RELATION,TRUE,,TRUE,,TRUE,,"answer: entailment
relations: { }",NO_RELATION,,"answer: entailment
relations: { }

explanation: The hypothesis ""The dog has big ears"" is directly entailed from the premise ""A dog with big ears holds a ball in his mouth"" without requiring any non-trivial lexical entailment relations. The premise explicitly states that the dog has big ears, and this fact remains true in the hypothesis. No lexical bridging is needed beyond what is already present in both sentences.",NO_RELATION,,"answer: entailment
relations: { }",NO_RELATION,,"answer: entailment
relations: { }",NO_RELATION,,"answer: entailment
relations: { }",NO_RELATION,,"answer: entailment
relations: { }

explanation: The hypothesis ""The dog has big ears"" is directly stated in the premise ""A dog with big ears holds a ball in his mouth."" The phrase ""with big ears"" explicitly describes the dog as having big ears. No lexical entailment relations are needed to explain this entailment, as the relevant information appears explicitly in the premise.",NO_RELATION,,"answer: entailment
relations: { }",NO_RELATION,,"answer: entailment  
relations: { }",NO_RELATION,
3447155358.jpg#3r1e,snli,dev,A little girl in a red flowered dress with a tennis racket.,A little girl in red.,entailment,2,TRUE,,NO_RELATION,NO_RELATION,,NO_RELATION,TRUE,,TRUE,,TRUE,,"answer: entailment
relations: { }",NO_RELATION,,"answer: entailment
relations: { }

explanation: The hypothesis is entailed from the premise without requiring any non-trivial lexical relations. The premise describes ""a little girl in a red flowered dress,"" which necessarily means the girl is in red clothing. The hypothesis simply states ""a little girl in red,"" which is a more general description that follows directly from the premise. No lexical entailment relations are needed to bridge this inference, as it follows from the logical structure alone—if someone wears a red flowered dress, they are necessarily wearing red.",NO_RELATION,,"answer: entailment
relations: { }",NO_RELATION,,"answer: entailment  
relations: { entails(red flowered dress, red) }","isa_wn(red flowered dress, red)",,"answer: entailment
relations: { }",NO_RELATION,,"answer: entailment
relations: { }

explanation: The hypothesis is entailed by the premise without requiring any non-trivial lexical relations. The premise describes ""a little girl in a red flowered dress with a tennis racket,"" which necessarily means there is ""a little girl in red."" The detail that the dress is flowered and that she has a tennis racket are additional modifiers that do not negate the basic fact that she is a little girl wearing something red. This is a straightforward case where the hypothesis is a simplified version of the premise, extracting the core information that remains true.",NO_RELATION,,"answer: entailment
relations: { }",NO_RELATION,,"answer: entailment  
relations: { entails(red flowered dress, red) }","isa_wn(red flowered dress, red)",
3584860179.jpg#1r1e,snli,dev,An old man is sitting in a chair outside a colorfully painted building.,Elderly man is sitting on a chair in outside of a building,entailment,2,TRUE,,"(old, elderly)",,"(old, elderly)","(old, elderly)",,TRUE,TRUE,,,TRUE,"answer: entailment
relations: { entails(old man, elderly man), entails(in chair, on chair), entails(outside, outside of) }","isa_wn(old man, elderly man); isa_wn(in chair, on chair); isa_wn(outside, outside of)",,"answer: entailment
relations: { entails(old, elderly), entails(in, on) }","isa_wn(old, elderly); isa_wn(in, on)",,"answer: entailment
relations: { entails(old man, elderly man) }","isa_wn(old man, elderly man)",,"answer: entailment
relations: { entails(old, elderly) }","isa_wn(old, elderly)",,"answer: entailment
relations: { entails(old, elderly), entails(in a chair, on a chair), entails(outside, outside of) }","isa_wn(old, elderly); isa_wn(in a chair, on a chair); isa_wn(outside, outside of)",,"answer: entailment
relations: { entails(old, elderly), entails(in, on) }","isa_wn(old, elderly); isa_wn(in, on)",,"answer: entailment
relations: { entails(old man, elderly man) }","isa_wn(old man, elderly man)",,"answer: entailment  
relations: {entails(old man, elderly man), entails(colorfully painted building, building)}","isa_wn(old man, elderly man); isa_wn(colorfully painted building, building)",
3612249030.jpg#1r1e,snli,dev,A boy is carrying a black body board across the sand.,The boy is holding an item.,entailment,2,TRUE,,"(body board, item); (carry, hold)",,"(body board, item); (carry, hold)","(body board, item); (carry, hold)",,TRUE,TRUE,,,TRUE,"answer: entailment
relations: { entails(body board, item) }","isa_wn(body board, item)",,"answer: entailment
relations: { entails(carry, hold), entails(body board, item) }","isa_wn(carry, hold); isa_wn(body board, item)",,"answer: entailment
relations: { entails(body board, item) }","isa_wn(body board, item)",,"answer: entailment
relations: { entails(carry, hold), entails(body board, item) }","isa_wn(carry, hold); isa_wn(body board, item)",,"answer: entailment
relations: { entails(body board, item) }","isa_wn(body board, item)",,"answer: entailment
relations: { entails(carry, hold), entails(body board, item) }","isa_wn(carry, hold); isa_wn(body board, item)",,"answer: entailment
relations: { entails(body board, item) }","isa_wn(body board, item)",,"answer: entailment  
relations: { entails(body board, item), entails(carrying, holding) }","isa_wn(body board, item); isa_wn(carrying, holding)",
3629664676.jpg#4r1e,snli,train,A dog pulling a rope.,The dog drags the rope.,entailment,2,TRUE,,"(pull, drag)","(pull, drag)",,"(pull, drag)",TRUE,,TRUE,,TRUE,,"answer: entailment
relations: { entails(pull, drag) }","isa_wn(pull, drag)",,"answer: entailment
relations: { entails(pull, drag) }","isa_wn(pull, drag)",,"answer: entailment
relations: { entails(pull, drag) }","isa_wn(pull, drag)",,"answer: entailment  
relations: { entails(pull, drag) }","isa_wn(pull, drag)",,"answer: entailment
relations: { entails(pull, drag) }","isa_wn(pull, drag)",,"answer: entailment
relations: { entails(pull, drag) }","isa_wn(pull, drag)",,"answer: entailment
relations: { entails(pull, drag) }","isa_wn(pull, drag)",,"answer: entailment  
relations: { entails(pull, drag) }","isa_wn(pull, drag)",
3639967449.jpg#3r1e,snli,dev,Two boys sitting and eating ice cream.,The boys are eating.,entailment,2,TRUE,,NO_RELATION,,NO_RELATION,NO_RELATION,,TRUE,TRUE,,,TRUE,"answer: entailment
relations: { }",NO_RELATION,,"answer: entailment
relations: { }

explanation: The hypothesis is entailed from the premise without requiring any non-trivial lexical relations. The premise states that two boys are eating ice cream, which directly entails that the boys are eating. The object of eating (ice cream) can be omitted in the hypothesis without affecting the logical entailment. No special lexical bridge is needed.",NO_RELATION,,"answer: entailment
relations: { }",NO_RELATION,,"answer: entailment  
relations: { entails(eating ice cream, eating) }","isa_wn(eating ice cream, eating)",,"answer: entailment
relations: { }",NO_RELATION,,"answer: entailment
relations: { }

explanation: The hypothesis ""The boys are eating"" is directly entailed by the premise ""Two boys sitting and eating ice cream."" The premise explicitly states that the boys are eating ice cream, which means they are eating. No non-trivial lexical entailment relations are needed to establish this entailment, as the core semantic content (boys eating) is present in both sentences.",NO_RELATION,,"answer: entailment
relations: { }",NO_RELATION,,"**answer:** entailment  
**relations:** {entails(two boys, boys), entails(eating ice cream, eating)}","isa_wn(two boys, boys); isa_wn(eating ice cream, eating)",
3791591952.jpg#3r1e,snli,dev,Two entertainers on a stage performing acrobatic moves.,Two entertainers are performing acrobatics.,entailment,2,TRUE,,"(acrobatic move, acrobatics)","(acrobatic move, acrobatics)",,"(acrobatic move, acrobatics)",FALSE,,FALSE,,FALSE,,"answer: entailment
relations: { entails(acrobatic moves, acrobatics) }","isa_wn(acrobatic moves, acrobatics)",,"answer: entailment
relations: { entails(acrobatic move, acrobatic) }","isa_wn(acrobatic move, acrobatic)",,"answer: entailment
relations: { entails(acrobatic move, acrobatics) }","isa_wn(acrobatic move, acrobatics)",,"answer: entailment  
relations: { entails(acrobatic moves, acrobatics) }","isa_wn(acrobatic moves, acrobatics)",,"answer: entailment
relations: { entails(acrobatic move, acrobatics) }","isa_wn(acrobatic move, acrobatics)",,"answer: entailment
relations: { entails(acrobatic move, acrobatic) }","isa_wn(acrobatic move, acrobatic)",,"answer: entailment
relations: { entails(acrobatic move, acrobatics) }","isa_wn(acrobatic move, acrobatics)",,"answer: entailment
relations: { entails(acrobatic moves, acrobatics) }","isa_wn(acrobatic moves, acrobatics)",
3794595430.jpg#3r1e,snli,dev,A woman stands at a podium with a slide show behind her.,A woman is standing at a podium.,entailment,2,TRUE,,NO_RELATION,NO_RELATION,,NO_RELATION,TRUE,,TRUE,,TRUE,,"answer: entailment
relations: { }",NO_RELATION,,"answer: entailment
relations: { }

explanation: The hypothesis is entailed from the premise without requiring any non-trivial lexical relations. The premise states that ""a woman stands at a podium with a slide show behind her,"" which directly entails that ""a woman is standing at a podium."" The only difference is the verb form (""stands"" vs. ""is standing""), which are semantically equivalent aspect forms of the same verb, not requiring a lexical entailment relation. The additional detail about the slide show in the premise does not negate the core claim in the hypothesis.",NO_RELATION,,"answer: entailment
relations: { }",NO_RELATION,,"answer: entailment  
relations: { }",NO_RELATION,,"answer: entailment  
relations: { }",NO_RELATION,,"answer: entailment
relations: { }

explanation: The hypothesis is a direct simplification of the premise. The premise states that ""a woman stands at a podium with a slide show behind her,"" and the hypothesis states that ""a woman is standing at a podium."" The hypothesis removes the additional detail about the slide show but retains all the essential information from the premise. Since the premise is true, the hypothesis must also be true. No non-trivial lexical entailment relations are needed to explain this entailment, as the hypothesis is simply a less specific version of the premise that follows logically from it.",NO_RELATION,,"answer: entailment
relations: { }",NO_RELATION,,"answer: entailment  
relations: { }",NO_RELATION,
381750411.jpg#0r1e,snli,dev,Man dressed in business casual attire playing the saxophone with the rest of a band.,Man plays a woodwind instrument.,entailment,3,TRUE,,,"(saxophone, woodwind instrument)","(saxophone, woodwind instrument)","(saxophone, woodwind instrument)",,,,TRUE,TRUE,TRUE,"answer: entailment
relations: { entails(saxophone, woodwind instrument) }","isa_wn(saxophone, woodwind instrument)",,"answer: entailment
relations: { entails(saxophone, woodwind instrument) }","isa_wn(saxophone, woodwind instrument)",,"answer: entailment
relations: { entails(saxophone, woodwind instrument) }","isa_wn(saxophone, woodwind instrument)",,"answer: entailment  
relations: { entails(saxophone, woodwind instrument) }","isa_wn(saxophone, woodwind instrument)",,"answer: entailment  
relations: { entails(saxophone, woodwind instrument) }","isa_wn(saxophone, woodwind instrument)",,"answer: entailment
relations: { entails(saxophone, woodwind instrument) }","isa_wn(saxophone, woodwind instrument)",,"answer: entailment
relations: { entails(saxophone, woodwind instrument) }","isa_wn(saxophone, woodwind instrument)",,"answer: entailment  
relations: { entails(saxophone, woodwind instrument) }","isa_wn(saxophone, woodwind instrument)",
3843254402.jpg#0r1e,snli,test,A man in a white striped shirt and blue jeans using a water hose to spray water on the ground of concrete ruins.Fo.,A man is spraying water on concrete.,entailment,2,TRUE,,NO_RELATION,,NO_RELATION,NO_RELATION,,TRUE,TRUE,,,TRUE,"answer: entailment
relations: { entails(water hose, spray water) }","isa_wn(water hose, spray water)",,"answer: entailment

relations: { entails(water hose, hose), entails(concrete ruin, concrete) }","isa_wn(water hose, hose); isa_wn(concrete ruin, concrete)",,"answer: entailment
relations: { entails(ruin, concrete) }","isa_wn(ruin, concrete)",,"**answer:** entailment  
**relations:** { entails(concrete ruins, concrete) }","isa_wn(concrete ruins, concrete)",,"answer: entailment
relations: { entails(using water hose to spray water, spraying water), entails(ground of concrete ruins, concrete) }","isa_wn(using water hose to spray water, spraying water); isa_wn(ground of concrete ruins, concrete)",,"answer: entailment
relations: { entails(water hose, hose), entails(spray, spray), entails(concrete ruin, concrete) }","isa_wn(water hose, hose); isa_wn(spray, spray); isa_wn(concrete ruin, concrete)",,"answer: entailment
relations: { entails(ruins, concrete) }","isa_wn(ruins, concrete)",,"answer: entailment  
relations: { entails(concrete ruins, concrete) }","isa_wn(concrete ruins, concrete)",
3913959754.jpg#1r1e,snli,dev,"A woman is standing near the water, looks to be throwing something.",A woman is close to the water.,entailment,3,TRUE,,,"(near, close)","(near, close)","(near, close)",,,,TRUE,TRUE,TRUE,"answer: entailment
relations: { entails(near, close) }","isa_wn(near, close)",,"answer: entailment
relations: { entails(near, close to) }","isa_wn(near, close to)",,"answer: entailment
relations: { entails(near, close to) }","isa_wn(near, close to)",,"answer: entailment  
relations: { entails(near, close) }","isa_wn(near, close)",,"answer: entailment
relations: { entails(near, close) }","isa_wn(near, close)",,"answer: entailment
relations: { entails(near, close to) }","isa_wn(near, close to)",,"answer: entailment
relations: { entails(stand near, be close to) }","isa_wn(stand near, be close to)",,"answer: entailment  
relations: { entails(near, close) }","isa_wn(near, close)",
4000008650.jpg#2r1e,snli,train,A woman plays the tuba and another plays the cello on the street.,People playing instruments on the street.,entailment,3,TRUE,,,"(cello, instrument); (tuba, instrument)","(cello, instrument); (tuba, instrument)","(cello, instrument); (tuba, instrument)",,,,FALSE,FALSE,TRUE,"answer: entailment  
relations: { entails(woman, people), entails(tuba, instrument), entails(cello, instrument) }","isa_wn(woman, people); isa_wn(tuba, instrument); isa_wn(cello, instrument)",,"answer: entailment
relations: { entails(woman, people), entails(tuba, instrument), entails(cello, instrument), entails(play, playing) }","isa_wn(woman, people); isa_wn(tuba, instrument); isa_wn(cello, instrument); isa_wn(play, playing)",,"answer: entailment
relations: { entails(woman, person), entails(tuba, instrument), entails(cello, instrument) }","isa_wn(woman, person); isa_wn(tuba, instrument); isa_wn(cello, instrument)",,"answer: entailment  
relations: { entails(woman, person), entails(tuba, instrument), entails(cello, instrument) }","isa_wn(woman, person); isa_wn(tuba, instrument); isa_wn(cello, instrument)",,"answer: entailment
relations: { entails(tuba, instrument), entails(cello, instrument), entails(woman, person) }","isa_wn(tuba, instrument); isa_wn(cello, instrument); isa_wn(woman, person)",,"answer: entailment
relations: { entails(woman, person), entails(tuba, instrument), entails(cello, instrument) }","isa_wn(woman, person); isa_wn(tuba, instrument); isa_wn(cello, instrument)",,"answer: entailment
relations: { entails(tuba, instrument), entails(cello, instrument) }","isa_wn(tuba, instrument); isa_wn(cello, instrument)",,"**answer:** entailment  
**relations:** {entails(woman, person), entails(tuba, instrument), entails(cello, instrument)}","isa_wn(woman, person); isa_wn(tuba, instrument); isa_wn(cello, instrument)",
4019072184.jpg#4r1e,snli,dev,A man is rock climbing with protective rope.,A man is being secured.,entailment,2,TRUE,,NO_RELATION,,NO_RELATION,NO_RELATION,,TRUE,TRUE,,,TRUE,answer: non-entailment,NO_RELATION,,"answer: non-entailment

explanation: While the premise mentions rock climbing with protective rope, it does not entail that the man is being secured. The presence of protective rope does not necessarily mean the rope is actively securing the man—it could be unused, improperly deployed, or available but not yet engaged. The hypothesis makes a stronger claim about the man's current state (being secured) that cannot be definitively inferred from the premise's description of the equipment present during the activity.

relations: { }",NO_RELATION,,"answer: entailment
relations: { entails(rock climbing with protective rope, be secured) }","isa_wn(rock climbing with protective rope, be secured)",,"**answer**: entailment  
**relations**: { }",NO_RELATION,,answer: non-entailment,NO_RELATION,,"answer: entailment
relations: { entails(protective rope, secure) }","isa_wn(protective rope, secure)",,"answer: entailment
relations: { entails(rock climbing, being secured) }","isa_wn(rock climbing, being secured)",,"answer: entailment
relations: { entails(protective rope, rope), entails(rope, securing) }","isa_wn(protective rope, rope); isa_wn(rope, securing)",
