ID,dataset,split,premise,hypothesis,gold_label,annotator_count,all_present_exact_match,Alternative_KB,Ettore_KB,Jorryt_KB,Lasha_KB,Stefan_KB,Ettore_Jorryt_match,Ettore_Lasha_match,Ettore_Stefan_match,Jorryt_Lasha_match,Jorryt_Stefan_match,Lasha_Stefan_match,LLM__lex_few_shot_precision__openai_gpt-5.4-mini_raw_response,LLM__lex_few_shot_precision__openai_gpt-5.4-mini_KB,LLM__lex_few_shot_precision__openai_gpt-5.4-mini_error,LLM__lex_few_shot_precision__anthropic_claude-haiku-4.5_raw_response,LLM__lex_few_shot_precision__anthropic_claude-haiku-4.5_KB,LLM__lex_few_shot_precision__anthropic_claude-haiku-4.5_error,LLM__lex_few_shot_precision__google_gemini-3.1-flash-lite_raw_response,LLM__lex_few_shot_precision__google_gemini-3.1-flash-lite_KB,LLM__lex_few_shot_precision__google_gemini-3.1-flash-lite_error,LLM__lex_few_shot_precision__openai_gpt-oss-20b_raw_response,LLM__lex_few_shot_precision__openai_gpt-oss-20b_KB,LLM__lex_few_shot_precision__openai_gpt-oss-20b_error,LLM__lex_few_shot_base__openai_gpt-5.4-mini_raw_response,LLM__lex_few_shot_base__openai_gpt-5.4-mini_KB,LLM__lex_few_shot_base__openai_gpt-5.4-mini_error,LLM__lex_few_shot_base__anthropic_claude-haiku-4.5_raw_response,LLM__lex_few_shot_base__anthropic_claude-haiku-4.5_KB,LLM__lex_few_shot_base__anthropic_claude-haiku-4.5_error,LLM__lex_few_shot_base__google_gemini-3.1-flash-lite_raw_response,LLM__lex_few_shot_base__google_gemini-3.1-flash-lite_KB,LLM__lex_few_shot_base__google_gemini-3.1-flash-lite_error,LLM__lex_few_shot_base__openai_gpt-oss-20b_raw_response,LLM__lex_few_shot_base__openai_gpt-oss-20b_KB,LLM__lex_few_shot_base__openai_gpt-oss-20b_error
3046190891.jpg#2r1e,snli,test,A surfer is performing a jumping stunt in the ocean.,A person in the water.,entailment,2,TRUE,,"(ocean, water); (surfer, person)",,"(ocean, water); (surfer, person)","(ocean, water); (surfer, person)",,TRUE,TRUE,,,TRUE,"answer: non-entailment
relations: { }",NO_RELATION,,"answer: non-entailment

explanation: While the premise describes a surfer performing an action in the ocean, the hypothesis states ""A person in the water"" which is incomplete and does not clearly express a full proposition. More importantly, the premise does not entail that a person is simply ""in the water"" — it entails that a surfer is performing a jumping stunt in the ocean. The hypothesis lacks the action component (performing/jumping) that is central to the premise. Additionally, ""in the water"" is weaker than ""in the ocean"" in terms of specificity, but the main issue is that the hypothesis does not capture the key predicate from the premise.",NO_RELATION,,"answer: entailment
relations: { entails(surfer, person), entails(ocean, water) }","isa_wn(surfer, person); isa_wn(ocean, water)",,"answer: entailment
relations: { entails(surfer, person), entails(ocean, water) }","isa_wn(surfer, person); isa_wn(ocean, water)",,"answer: entailment
relations: { entails(surfer, person), entails(ocean, water) }","isa_wn(surfer, person); isa_wn(ocean, water)",,"answer: entailment
relations: { entails(surfer, person), entails(ocean, water) }","isa_wn(surfer, person); isa_wn(ocean, water)",,"answer: entailment
relations: { entails(surfer, person), entails(ocean, water) }","isa_wn(surfer, person); isa_wn(ocean, water)",,"answer: entailment  
relations: { entails(surfer, person), entails(ocean, water) }","isa_wn(surfer, person); isa_wn(ocean, water)",
3054989420.jpg#0r1e,snli,dev,Two children throw dead leaves into the air around them.,The children are outside.,entailment,2,TRUE,,NO_RELATION,NO_RELATION,,NO_RELATION,TRUE,,TRUE,,TRUE,,answer: non-entailment,NO_RELATION,,"answer: non-entailment

relations: { }

explanation: While the premise describes children throwing dead leaves into the air, this action does not necessarily entail that they are outside. Children could be throwing dead leaves indoors (e.g., in a room with dead leaves collected inside, or in a greenhouse). The premise describes an activity involving dead leaves but does not explicitly state or necessarily imply an outdoor location.",NO_RELATION,,"answer: entailment
relations: { }",NO_RELATION,,answer: non-entailment,NO_RELATION,,answer: non-entailment,NO_RELATION,,"answer: entailment
relations: { entails(throw dead leaf into air, be outside) }","isa_wn(throw dead leaf into air, be outside)",,"answer: entailment
relations: { entails(dead leaf, item found outdoors) }","isa_wn(dead leaf, item found outdoors)",,answer: non-entailment,NO_RELATION,
3101378069.jpg#4r1e,snli,dev,A lady rows a canoe filled with things.,A woman rows a small boat loaded with items.,entailment,3,TRUE,,,"(canoe, small boat); (lady, woman); (filled, loaded); (thing, item)","(canoe, small boat); (filled, loaded); (lady, woman); (thing, item)","(canoe, small boat); (lady, woman); (thing, item); (filled, loaded)",,,,FALSE,FALSE,FALSE,"answer: entailment
relations: { entails(lady, woman), entails(canoe, small boat), entails(filled with things, loaded with items) }","isa_wn(lady, woman); isa_wn(canoe, small boat); isa_wn(filled with things, loaded with items)",,"answer: entailment
relations: { entails(lady, woman), entails(canoe, small boat), entails(thing, item) }","isa_wn(lady, woman); isa_wn(canoe, small boat); isa_wn(thing, item)",,"answer: entailment
relations: { entails(lady, woman), entails(canoe, small boat), entails(thing, item) }","isa_wn(lady, woman); isa_wn(canoe, small boat); isa_wn(thing, item)",,"answer: entailment  
relations: { entailed(lady, woman), entails(canoe, small boat), entails(thing, item), entails(filled, loaded) }","isa_wn(canoe, small boat); isa_wn(thing, item); isa_wn(filled, loaded)",,"answer: entailment
relations: { entails(lady, woman), entails(canoe, small boat), entails(filled with things, loaded with items) }","isa_wn(lady, woman); isa_wn(canoe, small boat); isa_wn(filled with things, loaded with items)",,"answer: entailment
relations: { entails(lady, woman), entails(canoe, small boat), entails(thing, item) }","isa_wn(lady, woman); isa_wn(canoe, small boat); isa_wn(thing, item)",,"answer: entailment
relations: { entails(lady, woman), entails(canoe, small boat), entails(thing, item) }","isa_wn(lady, woman); isa_wn(canoe, small boat); isa_wn(thing, item)",,"answer: entailment
relations: { entails(lady, woman), entails(canoe, small boat), entails(filled, loaded), entails(thing, item) }","isa_wn(lady, woman); isa_wn(canoe, small boat); isa_wn(filled, loaded); isa_wn(thing, item)",
3134092148.jpg#3r2e,snli,train,A man surfing a wave.,A man catches a wave.,entailment,3,TRUE,,,NO_RELATION,NO_RELATION,NO_RELATION,,,,TRUE,FALSE,FALSE,answer: non-entailment,NO_RELATION,,"answer: non-entailment

explanation: The premise states that a man is surfing a wave, which means he is riding on the wave. The hypothesis states that a man catches a wave, which means he is acquiring or seizing the wave. While these actions both involve a man and a wave, ""surfing"" and ""catching"" are distinct actions. Surfing a wave does not necessarily entail catching a wave - a surfer typically catches a wave first and then surfs it, but the premise only describes the surfing action, not the catching action. Therefore, the premise does not entail the hypothesis.",NO_RELATION,,"answer: entailment
relations: { entails(surf, catch) }","isa_wn(surf, catch)",,"answer: entailment  
relations: { entails(surf, catch) }","isa_wn(surf, catch)",,"answer: entailment
relations: { entails(surf, catch a wave) }","isa_wn(surf, catch a wave)",,"answer: entailment
relations: { entails(surf, catch) }

Explanation: The premise states that a man is surfing a wave. Surfing a wave entails catching a wave, as surfing necessarily involves catching and riding a wave. The lexical relation captures that ""surf"" (as a verb meaning to ride on a wave) is a type of ""catch"" (as a verb meaning to get onto a wave).","isa_wn(surf, catch)",,answer: non-entailment,NO_RELATION,,"answer: entailment  
relations: { entails(surf, catch) }","isa_wn(surf, catch)",
3168293517.jpg#2r1e,snli,dev,A little boy in a blue shirt holding a toy.,Boy dressed in blue holds a toy.,entailment,2,TRUE,,NO_RELATION,NO_RELATION,,NO_RELATION,TRUE,,TRUE,,TRUE,,"answer: entailment  
relations: { entails(in a blue shirt, dressed in blue), entails(holding, holds) }","isa_wn(in a blue shirt, dressed in blue); isa_wn(holding, holds)",,"answer: entailment
relations: { entails(little boy, boy) }","isa_wn(little boy, boy)",,"answer: entailment
relations: { }",NO_RELATION,,"answer: entailment  
relations: { }",NO_RELATION,,"answer: entailment
relations: { entails(in a blue shirt, dressed in blue) }","isa_wn(in a blue shirt, dressed in blue)",,"answer: entailment
relations: { entails(little boy, boy) }","isa_wn(little boy, boy)",,"answer: entailment
relations: { entails(little boy, boy) }","isa_wn(little boy, boy)",,"answer: entailment  
relations: { entails(little boy, boy), entails(blue shirt, dressed in blue) }","isa_wn(little boy, boy); isa_wn(blue shirt, dressed in blue)",
3232994074.jpg#4r1e,snli,dev,A man and child working on a puzzle.,An adult and a kid are engaged in an activity.,entailment,3,TRUE,,,"(child, kid); (man, adult)","(child, kid); (man, adult)","(man, adult); (child, kid)",,,,FALSE,FALSE,FALSE,"answer: entailment  
relations: { entails(man, adult), entails(child, kid), entails(working on a puzzle, be engaged in an activity) }","isa_wn(man, adult); isa_wn(child, kid); isa_wn(working on a puzzle, be engaged in an activity)",,"answer: entailment
relations: { entails(man, adult), entails(child, kid), entails(puzzle, activity) }","isa_wn(man, adult); isa_wn(child, kid); isa_wn(puzzle, activity)",,"answer: entailment
relations: { entails(man, adult), entails(child, kid), entails(work on puzzle, engage in activity) }","isa_wn(man, adult); isa_wn(child, kid); isa_wn(work on puzzle, engage in activity)",,"**answer**: entailment  
**relations**: {entails(man, adult), entails(child, kid)}","isa_wn(man, adult); isa_wn(child, kid)",,"answer: entailment
relations: { entails(man, adult), entails(child, kid), entails(working on a puzzle, engaged in an activity) }","isa_wn(man, adult); isa_wn(child, kid); isa_wn(working on a puzzle, engaged in an activity)",,"answer: entailment
relations: { entails(man, adult), entails(child, kid), entails(puzzle, activity), entails(work on, engage in) }","isa_wn(man, adult); isa_wn(child, kid); isa_wn(puzzle, activity); isa_wn(work on, engage in)",,"answer: entailment
relations: { entails(man, adult), entails(child, kid), entails(work on puzzle, engage in activity) }","isa_wn(man, adult); isa_wn(child, kid); isa_wn(work on puzzle, engage in activity)",,"answer: entailment  
relations: {entails(man, adult), entails(child, kid), entails(puzzle, activity), entails(work, engage)}","isa_wn(man, adult); isa_wn(child, kid); isa_wn(puzzle, activity); isa_wn(work, engage)",
3246724744.jpg#0r1e,snli,dev,A young woman wearing a black shirt and black shorts jumps in the air at the beach.,A women in black at the beach.,entailment,2,TRUE,,NO_RELATION,NO_RELATION,,NO_RELATION,TRUE,,TRUE,,TRUE,,"answer: entailment
relations: { entails(woman, women), entails(black shirt and black shorts, black) }","isa_wn(woman, women); isa_wn(black shirt and black shorts, black)",,"answer: non-entailment

explanation: The premise describes a young woman performing an action (jumps in the air), while the hypothesis describes a woman in a static state at the beach. More critically, the hypothesis uses ""women"" (plural) while the premise refers to ""a young woman"" (singular). The premise does not entail that there are multiple women, nor does it entail that the woman is simply ""in black at the beach"" without the action component being part of the description. The number mismatch alone is sufficient to establish non-entailment.",NO_RELATION,,"answer: entailment
relations: { entails(young woman, woman) }","isa_wn(young woman, woman)",,"answer: entailment  
relations: { entails(black shirt and black shorts, black) }","isa_wn(black shirt and black shorts, black)",,"answer: entailment
relations: { entails(woman, women) }","isa_wn(woman, women)",,"answer: non-entailment

explanation: The hypothesis is incomplete or grammatically malformed (""A women in black at the beach"" lacks a main verb). However, even if we interpret it charitably as ""A woman in black is at the beach,"" there is a critical mismatch: the premise describes a dynamic action (jumps in the air), while the hypothesis only asserts a static state (is at the beach). The premise entails that the woman is at the beach, but the hypothesis as stated does not form a complete proposition that can be evaluated against the premise. Additionally, the use of ""women"" (plural) in the hypothesis contradicts the singular ""woman"" in the premise.",NO_RELATION,,"answer: entailment
relations: { entails(young woman, woman) }","isa_wn(young woman, woman)",,"answer: entailment  
relations: { entails(young woman, woman) }","isa_wn(young woman, woman)",
3375549004.jpg#4r1e,snli,dev,Men walk in line carrying things.,"While carrying their load, the men walked one behind the other.",entailment,2,TRUE,,NO_RELATION,NO_RELATION,,NO_RELATION,TRUE,,FALSE,,FALSE,,"answer: entailment
relations: { entails(walk in line, walk one behind the other), entails(carry thing, carry load) }","isa_wn(walk in line, walk one behind the other); isa_wn(carry thing, carry load)",,"answer: entailment
relations: { entails(walk in line, walk one behind the other), entails(carry, carry load) }","isa_wn(walk in line, walk one behind the other); isa_wn(carry, carry load)",,"answer: entailment
relations: { entails(walk in line, walk one behind other), entails(thing, load) }","isa_wn(walk in line, walk one behind other); isa_wn(thing, load)",,"answer: entailment  
relations: { entails(thing, load) }","isa_wn(thing, load)",,"answer: entailment
relations: { entails(in line, one behind the other), entails(carrying things, carrying their load) }","isa_wn(in line, one behind the other); isa_wn(carrying things, carrying their load)",,"answer: entailment
relations: { entails(walk in line, walk one behind the other), entails(thing, load), entails(carry, carry) }

Wait, let me reconsider this more carefully.

The premise states: ""Men walk in line carrying things.""
The hypothesis states: ""While carrying their load, the men walked one behind the other.""

Key observations:
- ""walk in line"" entails ""walk one behind the other"" (being in a line means being positioned one after another)
- ""things"" entails ""load"" (things being carried constitute a load)
- The tense changes from present to past, but this doesn't affect entailment in terms of logical content
- ""carrying things"" in the premise supports ""while carrying their load"" in the hypothesis

answer: entailment
relations: { entails(walk in line, walk one behind the other), entails(thing, load) }","isa_wn(walk in line, walk one behind the other); isa_wn(thing, load); isa_wn(carry, carry); isa_wn(walk in line, walk one behind the other); isa_wn(thing, load)",,"answer: entailment
relations: { entails(walk in line, walk one behind the other), entails(thing, load) }","isa_wn(walk in line, walk one behind the other); isa_wn(thing, load)",,"answer: entailment  
relations: { entails(line, one behind the other), entails(thing, load) }","isa_wn(line, one behind the other); isa_wn(thing, load)",
3383037991.jpg#3r1e,snli,dev,A dog looks content sitting on a bed after ripping up some paper,a dog sitting on a bed after ripping up paper.,entailment,2,TRUE,,NO_RELATION,NO_RELATION,NO_RELATION,,TRUE,TRUE,,TRUE,,,"answer: entailment
relations: { }",NO_RELATION,,"answer: entailment
relations: { }

explanation: The hypothesis is entailed from the premise without requiring any non-trivial lexical relations. The premise describes a dog that is sitting on a bed after ripping up paper, and the hypothesis simply states that a dog is sitting on a bed after ripping up paper. The additional detail in the premise (that the dog ""looks content"") does not contradict or negate the hypothesis; it merely adds descriptive information. All the core elements of the hypothesis are directly present in the premise.",NO_RELATION,,"answer: entailment
relations: { }",NO_RELATION,,"answer: entailment
relations: { }",NO_RELATION,,"answer: entailment
relations: { }",NO_RELATION,,"answer: entailment
relations: { }

explanation: The hypothesis is entailed from the premise without requiring any non-trivial lexical relations. The premise states that ""A dog looks content sitting on a bed after ripping up some paper,"" which directly affirms that a dog is sitting on a bed after ripping up paper. The hypothesis simply removes the descriptive detail about the dog looking content, retaining all the essential information about the dog's actions and location. No specialized lexical entailments are needed to explain this inference.",NO_RELATION,,"answer: entailment
relations: { }",NO_RELATION,,"answer: entailment
relations: { }",NO_RELATION,
3424908564.jpg#1r1e,snli,dev,A woman with red-hair and wearing a black tank top and short jeans shorts appears to be yelling.,A woman with red-hair screams.,entailment,3,TRUE,,,"(yell, scream)","(yell, scream)","(yell, scream)",,,,TRUE,TRUE,TRUE,"answer: entailment
relations: { entails(appear to be yelling, scream) }","isa_wn(appear to be yelling, scream)",,"answer: entailment
relations: { entails(yell, scream) }","isa_wn(yell, scream)",,"answer: entailment
relations: { entails(yell, scream) }","isa_wn(yell, scream)",,"answer: entailment
relations: { entails(yell, scream) }","isa_wn(yell, scream)",,"answer: entailment
relations: { entails(appear to be yelling, scream) }","isa_wn(appear to be yelling, scream)",,"answer: entailment
relations: { entails(yell, scream) }","isa_wn(yell, scream)",,"answer: entailment
relations: { entails(yell, scream) }","isa_wn(yell, scream)",,"answer: entailment  
relations: { entails(yell, scream) }","isa_wn(yell, scream)",
3440104178.jpg#4r1e,snli,dev,A dog with big ears holds a ball in his mouth.,The dog has big ears.,entailment,2,TRUE,,NO_RELATION,NO_RELATION,,NO_RELATION,TRUE,,TRUE,,TRUE,,"answer: entailment
relations: { }",NO_RELATION,,"answer: entailment
relations: { }

explanation: The hypothesis follows directly from the premise without requiring any non-trivial lexical entailment relations. The premise states that ""a dog with big ears"" has this property, and the hypothesis simply asserts that ""the dog has big ears."" This is a direct logical consequence of the premise—no semantic bridging through lexical entailment is needed.",NO_RELATION,,"answer: entailment
relations: { }",NO_RELATION,,"answer: entailment  
relations: { }",NO_RELATION,,"answer: entailment
relations: { }",NO_RELATION,,"answer: entailment
relations: { }",NO_RELATION,,"answer: entailment
relations: { }",NO_RELATION,,"answer: entailment  
relations: { }",NO_RELATION,
3447155358.jpg#3r1e,snli,dev,A little girl in a red flowered dress with a tennis racket.,A little girl in red.,entailment,2,TRUE,,NO_RELATION,NO_RELATION,,NO_RELATION,TRUE,,TRUE,,TRUE,,"answer: entailment
relations: { }",NO_RELATION,,"answer: entailment
relations: { }

explanation: The hypothesis is entailed from the premise without requiring non-trivial lexical relations. The premise describes ""a little girl in a red flowered dress with a tennis racket,"" which necessarily includes a little girl wearing something red (the red flowered dress). The hypothesis simply states ""a little girl in red,"" which is a more general description that follows directly from the premise. No lexical entailment relations are needed because this follows from logical containment rather than from semantic relations between different words or phrases.",NO_RELATION,,"answer: entailment
relations: { }",NO_RELATION,,"**answer:** entailment  
**relations:** { entails(red flowered dress, red) }","isa_wn(red flowered dress, red)",,"answer: entailment
relations: { }",NO_RELATION,,"answer: entailment
relations: { }",NO_RELATION,,"answer: entailment
relations: { }",NO_RELATION,,"**answer:** entailment  
**relations:** { entails(red flowered dress, red) }","isa_wn(red flowered dress, red)",
3584860179.jpg#1r1e,snli,dev,An old man is sitting in a chair outside a colorfully painted building.,Elderly man is sitting on a chair in outside of a building,entailment,2,TRUE,,"(old, elderly)",,"(old, elderly)","(old, elderly)",,TRUE,TRUE,,,TRUE,"answer: entailment
relations: { entails(old man, elderly man), entails(in a chair, on a chair), entails(colorfully painted building, building) }","isa_wn(old man, elderly man); isa_wn(in a chair, on a chair); isa_wn(colorfully painted building, building)",,"answer: entailment
relations: { entails(old, elderly), entails(in, on) }","isa_wn(old, elderly); isa_wn(in, on)",,"answer: entailment
relations: { entails(old man, elderly man) }","isa_wn(old man, elderly man)",,"answer: entailment  
relations: { entails(old man, elderly man) }","isa_wn(old man, elderly man)",,"answer: entailment
relations: { entails(old, elderly), entails(in a chair, on a chair) }","isa_wn(old, elderly); isa_wn(in a chair, on a chair)",,"answer: entailment
relations: { entails(old, elderly), entails(in, on) }","isa_wn(old, elderly); isa_wn(in, on)",,"answer: entailment
relations: { entails(old man, elderly man) }","isa_wn(old man, elderly man)",,"answer: entailment
relations: { entails(old, elderly) }","isa_wn(old, elderly)",
3612249030.jpg#1r1e,snli,dev,A boy is carrying a black body board across the sand.,The boy is holding an item.,entailment,2,TRUE,,"(body board, item); (carry, hold)",,"(body board, item); (carry, hold)","(body board, item); (carry, hold)",,TRUE,TRUE,,,TRUE,"answer: entailment
relations: { entails(body board, item), entails(carry, hold) }","isa_wn(body board, item); isa_wn(carry, hold)",,"answer: entailment
relations: { entails(carry, hold), entails(body board, item) }","isa_wn(carry, hold); isa_wn(body board, item)",,"answer: entailment
relations: { entails(body board, item) }","isa_wn(body board, item)",,"answer: entailment  
relations: { entails(body board, item), entails(carry, hold) }","isa_wn(body board, item); isa_wn(carry, hold)",,"answer: entailment
relations: { entails(body board, item) }","isa_wn(body board, item)",,"answer: entailment
relations: { entails(carry, hold), entails(body board, item) }","isa_wn(carry, hold); isa_wn(body board, item)",,"answer: entailment
relations: { entails(body board, item) }","isa_wn(body board, item)",,"answer: entailment  
relations: {entails(carry, hold), entails(body board, item)}","isa_wn(carry, hold); isa_wn(body board, item)",
3629664676.jpg#4r1e,snli,train,A dog pulling a rope.,The dog drags the rope.,entailment,2,TRUE,,"(pull, drag)","(pull, drag)",,"(pull, drag)",TRUE,,TRUE,,TRUE,,"answer: entailment
relations: { entails(pull, drag) }","isa_wn(pull, drag)",,"answer: entailment
relations: { entails(pull, drag) }","isa_wn(pull, drag)",,"answer: entailment
relations: { entails(pull, drag) }","isa_wn(pull, drag)",,"answer: entailment  
relations: { entails(pull, drag) }","isa_wn(pull, drag)",,"answer: entailment
relations: { entails(pull, drag) }","isa_wn(pull, drag)",,"answer: entailment
relations: { entails(pull, drag) }","isa_wn(pull, drag)",,"answer: entailment
relations: { entails(pull, drag) }","isa_wn(pull, drag)",,answer: non-entailment,NO_RELATION,
3639967449.jpg#3r1e,snli,dev,Two boys sitting and eating ice cream.,The boys are eating.,entailment,2,TRUE,,NO_RELATION,,NO_RELATION,NO_RELATION,,TRUE,TRUE,,,TRUE,"answer: entailment
relations: { }",NO_RELATION,,"answer: entailment
relations: { }",NO_RELATION,,"answer: entailment
relations: { }",NO_RELATION,,"answer: entailment  
relations: { entails(eating ice cream, eating) }","isa_wn(eating ice cream, eating)",,"answer: entailment
relations: { }",NO_RELATION,,"answer: entailment
relations: { }

explanation: The hypothesis ""The boys are eating"" is directly entailed by the premise ""Two boys sitting and eating ice cream."" The premise explicitly states that the boys are eating ice cream, which means they are eating. No lexical entailment relations are needed because the entailment follows directly from the semantic content of the premise—eating ice cream is a specific instance of eating, and this relationship is captured by the explicit mention of the action ""eating"" in both sentences.",NO_RELATION,,"answer: entailment
relations: { }",NO_RELATION,,"answer: entailment
relations: { }",NO_RELATION,
3791591952.jpg#3r1e,snli,dev,Two entertainers on a stage performing acrobatic moves.,Two entertainers are performing acrobatics.,entailment,2,TRUE,,"(acrobatic move, acrobatics)","(acrobatic move, acrobatics)",,"(acrobatic move, acrobatics)",FALSE,,FALSE,,FALSE,,"answer: entailment
relations: { entails(acrobatic move, acrobatics) }","isa_wn(acrobatic move, acrobatics)",,"answer: entailment
relations: { entails(acrobatic move, acrobatics) }","isa_wn(acrobatic move, acrobatics)",,"answer: entailment
relations: { entails(acrobatic move, acrobatics) }","isa_wn(acrobatic move, acrobatics)",,"answer: entailment  
relations: { entails(acrobatic move, acrobatics) }","isa_wn(acrobatic move, acrobatics)",,"answer: entailment
relations: { entails(acrobatic move, acrobatics) }","isa_wn(acrobatic move, acrobatics)",,"answer: entailment
relations: { entails(acrobatic move, acrobatic) }","isa_wn(acrobatic move, acrobatic)",,"answer: entailment
relations: { entails(acrobatic move, acrobatics) }","isa_wn(acrobatic move, acrobatics)",,"answer: entailment  
relations: { entails(acrobatic move, acrobatics) }","isa_wn(acrobatic move, acrobatics)",
3794595430.jpg#3r1e,snli,dev,A woman stands at a podium with a slide show behind her.,A woman is standing at a podium.,entailment,2,TRUE,,NO_RELATION,NO_RELATION,,NO_RELATION,TRUE,,TRUE,,TRUE,,"answer: entailment
relations: { }",NO_RELATION,,"answer: entailment
relations: { }

Explanation: The hypothesis is entailed from the premise without requiring any non-trivial lexical entailment relations. The premise states that ""a woman stands at a podium with a slide show behind her,"" which directly entails that ""a woman is standing at a podium."" The only difference between the premise and hypothesis is that the hypothesis omits the detail about the slide show, but this is a simple matter of dropping non-essential information, not requiring any lexical bridge.",NO_RELATION,,"answer: entailment
relations: { }",NO_RELATION,,"answer: entailment
relations: {}",NO_RELATION,,"answer: entailment
relations: { }",NO_RELATION,,"answer: entailment
relations: { }

explanation: The hypothesis is entailed directly from the premise without requiring any non-trivial lexical relations. The premise states ""A woman stands at a podium with a slide show behind her,"" which explicitly contains all the information needed for the hypothesis ""A woman is standing at a podium."" The additional detail about the slide show in the premise does not negate or contradict the core assertion, and ""stands"" and ""is standing"" are the same verb in different grammatical forms. The entailment follows from simple logical containment of the hypothesis content within the premise.",NO_RELATION,,"answer: entailment
relations: { }",NO_RELATION,,"answer: entailment  
relations: { }",NO_RELATION,
381750411.jpg#0r1e,snli,dev,Man dressed in business casual attire playing the saxophone with the rest of a band.,Man plays a woodwind instrument.,entailment,3,TRUE,,,"(saxophone, woodwind instrument)","(saxophone, woodwind instrument)","(saxophone, woodwind instrument)",,,,TRUE,TRUE,TRUE,"answer: entailment
relations: { entails(saxophone, woodwind instrument) }","isa_wn(saxophone, woodwind instrument)",,"answer: entailment
relations: { entails(saxophone, woodwind instrument) }","isa_wn(saxophone, woodwind instrument)",,"answer: entailment
relations: { entails(saxophone, woodwind instrument) }","isa_wn(saxophone, woodwind instrument)",,"answer: entailment
relations: { entails(saxophone, woodwind instrument) }","isa_wn(saxophone, woodwind instrument)",,"answer: entailment
relations: { entails(saxophone, woodwind instrument) }","isa_wn(saxophone, woodwind instrument)",,"answer: entailment
relations: { entails(saxophone, woodwind instrument) }","isa_wn(saxophone, woodwind instrument)",,"answer: entailment
relations: { entails(saxophone, woodwind instrument) }","isa_wn(saxophone, woodwind instrument)",,"answer: entailment
relations: { entails(saxophone, woodwind instrument) }","isa_wn(saxophone, woodwind instrument)",
3843254402.jpg#0r1e,snli,test,A man in a white striped shirt and blue jeans using a water hose to spray water on the ground of concrete ruins.Fo.,A man is spraying water on concrete.,entailment,2,TRUE,,NO_RELATION,,NO_RELATION,NO_RELATION,,TRUE,TRUE,,,TRUE,"answer: entailment
relations: { entails(ground of concrete ruins, concrete), entails(use water hose, spray water) }","isa_wn(ground of concrete ruins, concrete); isa_wn(use water hose, spray water)",,"answer: entailment
relations: { entails(water hose, spray), entails(concrete ruins, concrete) }","isa_wn(water hose, spray); isa_wn(concrete ruins, concrete)",,"answer: entailment
relations: { }",NO_RELATION,,"answer: entailment  
relations: { entails(concrete ruins, concrete) }","isa_wn(concrete ruins, concrete)",,"answer: entailment
relations: { entails(water hose, hose), entails(spray water on the ground, spray water on concrete), entails(concrete ruins, concrete) }","isa_wn(water hose, hose); isa_wn(spray water on the ground, spray water on concrete); isa_wn(concrete ruins, concrete)",,"answer: entailment
relations: { entails(water hose, spray), entails(ground of concrete ruins, concrete) }","isa_wn(water hose, spray); isa_wn(ground of concrete ruins, concrete)",,"answer: entailment
relations: { entails(ruin, concrete) }","isa_wn(ruin, concrete)",,"answer: entailment  
relations: { entails(use water hose spray water, spray water), entails(concrete ruins, concrete) }","isa_wn(use water hose spray water, spray water); isa_wn(concrete ruins, concrete)",
3913959754.jpg#1r1e,snli,dev,"A woman is standing near the water, looks to be throwing something.",A woman is close to the water.,entailment,3,TRUE,,,"(near, close)","(near, close)","(near, close)",,,,TRUE,TRUE,TRUE,"answer: entailment
relations: { entails(near, close) }","isa_wn(near, close)",,"answer: entailment
relations: { entails(near, close to) }","isa_wn(near, close to)",,"answer: entailment
relations: { entails(stand near, be close to) }","isa_wn(stand near, be close to)",,"answer: entailment
relations: { entails(near water, close water) }","isa_wn(near water, close water)",,"answer: entailment
relations: { entails(near, close) }","isa_wn(near, close)",,"answer: entailment
relations: { entails(near, close to) }","isa_wn(near, close to)",,"answer: entailment
relations: { entails(near, close) }","isa_wn(near, close)",,"answer: entailment  
relations: { entails(near, close) }","isa_wn(near, close)",
