ID,dataset,split,premise,hypothesis,gold_label,annotator_count,all_present_exact_match,Alternative_KB,Ettore_KB,Jorryt_KB,Lasha_KB,Stefan_KB,Ettore_Jorryt_match,Ettore_Lasha_match,Ettore_Stefan_match,Jorryt_Lasha_match,Jorryt_Stefan_match,Lasha_Stefan_match,LLM__lex_few_shot_base__openai_gpt-5.4-mini_raw_response,LLM__lex_few_shot_base__openai_gpt-5.4-mini_KB,LLM__lex_few_shot_base__openai_gpt-5.4-mini_error,LLM__lex_few_shot_base__anthropic_claude-haiku-4.5_raw_response,LLM__lex_few_shot_base__anthropic_claude-haiku-4.5_KB,LLM__lex_few_shot_base__anthropic_claude-haiku-4.5_error,LLM__lex_few_shot_base__google_gemini-3.1-flash-lite_raw_response,LLM__lex_few_shot_base__google_gemini-3.1-flash-lite_KB,LLM__lex_few_shot_base__google_gemini-3.1-flash-lite_error,LLM__lex_few_shot_base__openai_gpt-oss-20b_raw_response,LLM__lex_few_shot_base__openai_gpt-oss-20b_KB,LLM__lex_few_shot_base__openai_gpt-oss-20b_error,LLM__lex_few_shot_precision__openai_gpt-5.4-mini_raw_response,LLM__lex_few_shot_precision__openai_gpt-5.4-mini_KB,LLM__lex_few_shot_precision__openai_gpt-5.4-mini_error,LLM__lex_few_shot_precision__anthropic_claude-haiku-4.5_raw_response,LLM__lex_few_shot_precision__anthropic_claude-haiku-4.5_KB,LLM__lex_few_shot_precision__anthropic_claude-haiku-4.5_error,LLM__lex_few_shot_precision__google_gemini-3.1-flash-lite_raw_response,LLM__lex_few_shot_precision__google_gemini-3.1-flash-lite_KB,LLM__lex_few_shot_precision__google_gemini-3.1-flash-lite_error,LLM__lex_few_shot_precision__openai_gpt-oss-20b_raw_response,LLM__lex_few_shot_precision__openai_gpt-oss-20b_KB,LLM__lex_few_shot_precision__openai_gpt-oss-20b_error
3054989420.jpg#0r1e,snli,dev,Two children throw dead leaves into the air around them.,The children are outside.,entailment,2,TRUE,,NO_RELATION,NO_RELATION,,NO_RELATION,TRUE,,TRUE,,TRUE,,"answer: entailment
relations: { entails(throw dead leaf into the air, be outside) }","isa_wn(throw dead leaf into the air, be outside)",,"answer: entailment
relations: { entails(throw dead leave into air, be outside) }","isa_wn(throw dead leave into air, be outside)",,"answer: entailment
relations: { entails(dead leaf, plant matter), entails(throw, move), entails(air, atmosphere) }

*Correction/Refinement Note:* While the provided entailment relations identify elements of the scene, the core reasoning for the entailment is that the act of ""throwing dead leaves into the air"" necessitates an outdoor environment (as leaves are typically accumulated on the ground outdoors, and the action involves an open space). The relations provided above adhere to the formal constraints while identifying the components of the predicate.","isa_wn(dead leaf, plant matter); isa_wn(throw, move); isa_wn(air, atmosphere)",,answer: non-entailment,NO_RELATION,,answer: non-entailment,NO_RELATION,,"answer: non-entailment

explanation: While the premise describes children throwing dead leaves, this does not necessarily entail that they are outside. Dead leaves could be collected indoors (e.g., in a house, gymnasium, or other indoor space), and children could throw them around in such a location. The presence of dead leaves does not logically guarantee an outdoor setting.",NO_RELATION,,"answer: entailment
relations: { }",NO_RELATION,,answer: non-entailment,NO_RELATION,
3101378069.jpg#4r1e,snli,dev,A lady rows a canoe filled with things.,A woman rows a small boat loaded with items.,entailment,3,TRUE,,,"(canoe, small boat); (lady, woman); (filled, loaded); (thing, item)","(canoe, small boat); (filled, loaded); (lady, woman); (thing, item)","(canoe, small boat); (lady, woman); (thing, item); (filled, loaded)",,,,FALSE,FALSE,FALSE,"answer: entailment
relations: { entails(lady, woman), entails(canoe, small boat), entails(filled with things, loaded with items) }","isa_wn(lady, woman); isa_wn(canoe, small boat); isa_wn(filled with things, loaded with items)",,"answer: entailment
relations: { entails(lady, woman), entails(canoe, small boat), entails(thing, item) }","isa_wn(lady, woman); isa_wn(canoe, small boat); isa_wn(thing, item)",,"answer: entailment
relations: { entails(lady, woman), entails(canoe, small boat), entails(thing, item) }","isa_wn(lady, woman); isa_wn(canoe, small boat); isa_wn(thing, item)",,"answer: entailment  
relations: {entails(lady, woman), entails(canoe, small boat)}","isa_wn(lady, woman); isa_wn(canoe, small boat)",,"answer: entailment
relations: { entails(lady, woman), entails(canoe, small boat), entails(filled with things, loaded with items) }","isa_wn(lady, woman); isa_wn(canoe, small boat); isa_wn(filled with things, loaded with items)",,"answer: entailment
relations: { entails(lady, woman), entails(canoe, small boat), entails(thing, item) }","isa_wn(lady, woman); isa_wn(canoe, small boat); isa_wn(thing, item)",,"answer: entailment
relations: { entails(lady, woman), entails(canoe, small boat), entails(thing, item) }","isa_wn(lady, woman); isa_wn(canoe, small boat); isa_wn(thing, item)",,"answer: entailment  
relations: { entails(lady, woman), entails(canoe, small boat), entails(thing, item) }","isa_wn(lady, woman); isa_wn(canoe, small boat); isa_wn(thing, item)",
3134092148.jpg#3r2e,snli,train,A man surfing a wave.,A man catches a wave.,entailment,3,TRUE,,,NO_RELATION,NO_RELATION,NO_RELATION,,,,TRUE,FALSE,FALSE,"answer: entailment  
relations: { entails(surf, catch a wave) }","isa_wn(surf, catch a wave)",,"answer: entailment
relations: { entails(surf, catch) }

explanation: The premise states that a man is surfing a wave. Surfing inherently involves catching and riding a wave, so ""surf"" entails ""catch"" in this context. The hypothesis only requires that the man catches a wave, which is necessarily true if he is surfing it.","isa_wn(surf, catch)",,"answer: entailment
relations: { entails(surf, catch) }","isa_wn(surf, catch)",,"answer: entailment  
relations: { entails(surf, catch) }","isa_wn(surf, catch)",,answer: non-entailment,NO_RELATION,,"answer: non-entailment

explanation: The premise states that a man is surfing a wave, which means he is riding on a wave. The hypothesis states that a man catches a wave, which means he is grabbing or obtaining a wave. While both involve a man and a wave, ""surfing"" (riding) and ""catching"" (grabbing/obtaining) are different actions. Surfing a wave does not necessarily entail catching a wave in the ordinary sense. One can surf a wave without catching it first, or catching could refer to a different action entirely. These are semantically distinct activities, so the premise does not entail the hypothesis.

relations: { }",NO_RELATION,,answer: non-entailment,NO_RELATION,,"answer: entailment  
relations: { entails(surf, catch) }","isa_wn(surf, catch)",
3168293517.jpg#2r1e,snli,dev,A little boy in a blue shirt holding a toy.,Boy dressed in blue holds a toy.,entailment,2,TRUE,,NO_RELATION,NO_RELATION,,NO_RELATION,TRUE,,TRUE,,TRUE,,"answer: entailment
relations: { entails(in a blue shirt, dressed in blue), entails(holding, holds) }","isa_wn(in a blue shirt, dressed in blue); isa_wn(holding, holds)",,"answer: entailment
relations: { entails(little boy, boy), entails(blue shirt, blue) }","isa_wn(little boy, boy); isa_wn(blue shirt, blue)",,"answer: entailment
relations: { }",NO_RELATION,,"answer: entailment  
relations: { }",NO_RELATION,,"answer: entailment
relations: { entails(in a blue shirt, dressed in blue), entails(holding, holds) }","isa_wn(in a blue shirt, dressed in blue); isa_wn(holding, holds)",,"answer: entailment
relations: { entails(little boy, boy) }","isa_wn(little boy, boy)",,"answer: entailment
relations: { }",NO_RELATION,,"answer: entailment  
relations: { }",NO_RELATION,
3232994074.jpg#4r1e,snli,dev,A man and child working on a puzzle.,An adult and a kid are engaged in an activity.,entailment,3,TRUE,,,"(child, kid); (man, adult)","(child, kid); (man, adult)","(man, adult); (child, kid)",,,,FALSE,FALSE,FALSE,"answer: entailment
relations: { entails(man, adult), entails(child, kid), entails(working on a puzzle, engaged in an activity) }","isa_wn(man, adult); isa_wn(child, kid); isa_wn(working on a puzzle, engaged in an activity)",,"answer: entailment
relations: { entails(man, adult), entails(child, kid), entails(puzzle, activity), entails(work on, engage in) }","isa_wn(man, adult); isa_wn(child, kid); isa_wn(puzzle, activity); isa_wn(work on, engage in)",,"answer: entailment
relations: { entails(man, adult), entails(child, kid), entails(work on puzzle, engage in activity) }","isa_wn(man, adult); isa_wn(child, kid); isa_wn(work on puzzle, engage in activity)",,"**answer:** entailment  
**relations:** { entails(man, adult), entails(child, kid), entails(working, engaged), entails(puzzle, activity) }","isa_wn(man, adult); isa_wn(child, kid); isa_wn(working, engaged); isa_wn(puzzle, activity)",,"answer: entailment
relations: { entails(man, adult), entails(child, kid), entails(working on a puzzle, engaged in an activity) }","isa_wn(man, adult); isa_wn(child, kid); isa_wn(working on a puzzle, engaged in an activity)",,"answer: entailment
relations: { entails(man, adult), entails(child, kid), entails(puzzle, activity) }","isa_wn(man, adult); isa_wn(child, kid); isa_wn(puzzle, activity)",,"answer: entailment
relations: { entails(man, adult), entails(child, kid), entails(work on puzzle, engage in activity) }","isa_wn(man, adult); isa_wn(child, kid); isa_wn(work on puzzle, engage in activity)",,"answer: entailment  
relations: { entails(man, adult), entails(child, kid), entails(puzzle, activity) }","isa_wn(man, adult); isa_wn(child, kid); isa_wn(puzzle, activity)",
3246724744.jpg#0r1e,snli,dev,A young woman wearing a black shirt and black shorts jumps in the air at the beach.,A women in black at the beach.,entailment,2,TRUE,,NO_RELATION,NO_RELATION,,NO_RELATION,TRUE,,TRUE,,TRUE,,"answer: entailment
relations: { entails(woman, women), entails(wearing black shirt and black shorts, in black) }","isa_wn(woman, women); isa_wn(wearing black shirt and black shorts, in black)",,"answer: non-entailment

explanation: The hypothesis is incomplete and unclear (""A women in black at the beach"" is not a complete sentence). More fundamentally, the premise describes a dynamic action (a woman jumping in the air), while the hypothesis merely describes a static state or existence at a location. The premise does not entail that the woman is simply present at the beach in a state of being; it specifically describes an action occurring at that location. Additionally, ""women"" in the hypothesis is plural while the premise refers to a single ""woman.""",NO_RELATION,,"answer: entailment
relations: { entails(young woman, woman) }","isa_wn(young woman, woman)",,"answer: entailment  
relations: { entails(black shirt and black shorts, black clothing) }","isa_wn(black shirt and black shorts, black clothing)",,answer: non-entailment,NO_RELATION,,"answer: non-entailment

explanation: The premise describes a young woman performing an action (jumps in the air), while the hypothesis describes women (plural) in a static state at the beach. The premise uses the singular ""woman"" while the hypothesis uses the plural ""women,"" which is a fundamental mismatch. Additionally, the hypothesis does not capture the action described in the premise (jumping), and uses the incomplete phrase ""A women in black"" which is also grammatically incorrect (should be ""women are"" or similar). The premise does not entail that multiple women are at the beach in black clothing.",NO_RELATION,,"answer: entailment
relations: { entails(young woman, woman) }","isa_wn(young woman, woman)",,"answer: entailment
relations: { entails(black shirt, black), entails(black shorts, black) }","isa_wn(black shirt, black); isa_wn(black shorts, black)",
3375549004.jpg#4r1e,snli,dev,Men walk in line carrying things.,"While carrying their load, the men walked one behind the other.",entailment,2,TRUE,,NO_RELATION,NO_RELATION,,NO_RELATION,TRUE,,FALSE,,FALSE,,"answer: entailment
relations: { entails(walk in line, walk one behind the other), entails(carry things, carry load) }","isa_wn(walk in line, walk one behind the other); isa_wn(carry things, carry load)",,"answer: entailment
relations: { entails(walk in line, walk one behind the other), entails(thing, load), entails(carry, carry) }

Wait, let me reconsider. The relation ""entails(carry, carry)"" is trivial and should not be included.

answer: entailment
relations: { entails(walk in line, walk one behind the other), entails(thing, load) }","isa_wn(walk in line, walk one behind the other); isa_wn(thing, load); isa_wn(carry, carry); isa_wn(carry, carry); isa_wn(walk in line, walk one behind the other); isa_wn(thing, load)",,"answer: entailment
relations: { entails(walk in line, walk one behind other), entails(thing, load) }","isa_wn(walk in line, walk one behind other); isa_wn(thing, load)",,"**answer:** entailment  

**relations:** { }",NO_RELATION,,"answer: entailment
relations: { entails(one behind the other, in line), entails(carry things, carry load) }","isa_wn(one behind the other, in line); isa_wn(carry things, carry load)",,"answer: entailment
relations: { entails(walk in line, walk one behind the other), entails(thing, load) }","isa_wn(walk in line, walk one behind the other); isa_wn(thing, load)",,"answer: entailment
relations: { entails(walk in line, walk one behind other), entails(thing, load) }","isa_wn(walk in line, walk one behind other); isa_wn(thing, load)",,"answer: entailment  
relations: { entails(load, thing) }","isa_wn(load, thing)",
3383037991.jpg#3r1e,snli,dev,A dog looks content sitting on a bed after ripping up some paper,a dog sitting on a bed after ripping up paper.,entailment,2,TRUE,,NO_RELATION,NO_RELATION,NO_RELATION,,TRUE,TRUE,,TRUE,,,"answer: entailment
relations: { }",NO_RELATION,,"answer: entailment
relations: { }

explanation: The hypothesis is a simplified version of the premise that removes the descriptive detail ""looks content"" but retains all the essential information about what the dog is doing (sitting on a bed after ripping up paper). The core predicate and its arguments remain the same, so the entailment holds without requiring any non-trivial lexical relations. The removal of ""looks content"" is just a reduction in descriptive detail, not a change in the fundamental claim about the dog's actions and location.",NO_RELATION,,"answer: entailment
relations: { }",NO_RELATION,,"answer: entailment
relations: { }",NO_RELATION,,"answer: entailment
relations: { }",NO_RELATION,,"answer: entailment
relations: { }

explanation: The hypothesis is entailed from the premise without requiring non-trivial lexical relations. The premise describes a dog sitting on a bed after ripping up paper, and the hypothesis simply restates this core fact. The additional descriptive detail that the dog ""looks content"" in the premise does not prevent the entailment—the dog is still sitting on a bed after ripping up paper, which is exactly what the hypothesis asserts. The change from ""some paper"" to ""paper"" is also not a meaningful semantic difference that requires a lexical relation.",NO_RELATION,,"answer: entailment
relations: { }",NO_RELATION,,"answer: entailment
relations: { }",NO_RELATION,
3424908564.jpg#1r1e,snli,dev,A woman with red-hair and wearing a black tank top and short jeans shorts appears to be yelling.,A woman with red-hair screams.,entailment,3,TRUE,,,"(yell, scream)","(yell, scream)","(yell, scream)",,,,TRUE,TRUE,TRUE,"answer: entailment
relations: { entails(appear to be yelling, scream) }","isa_wn(appear to be yelling, scream)",,"answer: entailment
relations: { entails(yell, scream) }","isa_wn(yell, scream)",,"answer: entailment
relations: { entails(yell, scream) }","isa_wn(yell, scream)",,"**answer:** entailment  
**relations:** { entails(yell, scream) }","isa_wn(yell, scream)",,"answer: entailment  
relations: { entails(appears to be yelling, screams) }","isa_wn(appears to be yelling, screams)",,"answer: entailment
relations: { entails(yell, scream) }","isa_wn(yell, scream)",,"answer: entailment
relations: { entails(yell, scream) }","isa_wn(yell, scream)",,"answer: entailment
relations: { entails(yell, scream) }","isa_wn(yell, scream)",
3440104178.jpg#4r1e,snli,dev,A dog with big ears holds a ball in his mouth.,The dog has big ears.,entailment,2,TRUE,,NO_RELATION,NO_RELATION,,NO_RELATION,TRUE,,TRUE,,TRUE,,"answer: entailment
relations: { }",NO_RELATION,,"answer: entailment
relations: { }

explanation: The hypothesis ""The dog has big ears"" is directly entailed from the premise ""A dog with big ears holds a ball in his mouth."" The premise explicitly states that the dog has big ears, and the hypothesis simply restates this fact. No non-trivial lexical entailment relations are needed to explain this inference, as the entailment follows directly from the content of the premise.",NO_RELATION,,"answer: entailment
relations: { }",NO_RELATION,,"answer: entailment  
relations: { }",NO_RELATION,,"answer: entailment
relations: { }",NO_RELATION,,"answer: entailment
relations: { }

explanation: The hypothesis follows directly from the premise without requiring any non-trivial lexical entailment relations. The premise explicitly states ""A dog with big ears,"" which directly entails that ""The dog has big ears."" No lexical bridging is needed since the relevant information appears verbatim in the premise (with only minor grammatical adjustments like changing ""with big ears"" to ""has big ears"").",NO_RELATION,,"answer: entailment
relations: { }",NO_RELATION,,"answer: entailment  
relations: { }",NO_RELATION,
3447155358.jpg#3r1e,snli,dev,A little girl in a red flowered dress with a tennis racket.,A little girl in red.,entailment,2,TRUE,,NO_RELATION,NO_RELATION,,NO_RELATION,TRUE,,TRUE,,TRUE,,"answer: entailment
relations: { }",NO_RELATION,,"answer: entailment
relations: { }

explanation: The hypothesis ""A little girl in red"" is directly entailed by the premise ""A little girl in a red flowered dress with a tennis racket."" The premise describes a little girl wearing a red flowered dress, which means she is in red. The additional details in the premise (flowered pattern, tennis racket) are supplementary information that does not contradict the hypothesis. No non-trivial lexical entailment relations are needed to explain this entailment, as the hypothesis is a direct simplification of the premise without requiring any semantic transformations of key terms.",NO_RELATION,,"answer: entailment
relations: { }",NO_RELATION,,"answer: entailment
relations: { }",NO_RELATION,,"answer: entailment
relations: { }",NO_RELATION,,"answer: entailment
relations: { }

explanation: The hypothesis is entailed by the premise without requiring any non-trivial lexical relations. The premise describes ""a little girl in a red flowered dress with a tennis racket,"" and the hypothesis simply states ""a little girl in red."" Since the girl is wearing a red flowered dress, she is indeed in red. This follows directly from the semantic content without needing lexical bridges—it's a matter of logical containment where more specific descriptive details in the premise support the simpler description in the hypothesis.",NO_RELATION,,"answer: entailment
relations: { }",NO_RELATION,,"answer: entailment
relations: { entails(red flowered dress, red) }","isa_wn(red flowered dress, red)",
3584860179.jpg#1r1e,snli,dev,An old man is sitting in a chair outside a colorfully painted building.,Elderly man is sitting on a chair in outside of a building,entailment,2,TRUE,,"(old, elderly)",,"(old, elderly)","(old, elderly)",,TRUE,TRUE,,,TRUE,"answer: entailment
relations: { entails(old, elderly), entails(in a chair, on a chair), entails(outside, in outside of) }","isa_wn(old, elderly); isa_wn(in a chair, on a chair); isa_wn(outside, in outside of)",,"answer: entailment
relations: { entails(old, elderly), entails(in, on) }","isa_wn(old, elderly); isa_wn(in, on)",,"answer: entailment
relations: { entails(old man, elderly man) }","isa_wn(old man, elderly man)",,"answer: entailment  
relations: { entails(old man, elderly man), entails(colorfully painted building, building) }","isa_wn(old man, elderly man); isa_wn(colorfully painted building, building)",,"answer: entailment
relations: { entails(old, elderly), entails(in a chair, on a chair) }","isa_wn(old, elderly); isa_wn(in a chair, on a chair)",,"answer: entailment
relations: { entails(old, elderly), entails(in, on) }","isa_wn(old, elderly); isa_wn(in, on)",,"answer: entailment
relations: { entails(old man, elderly man) }","isa_wn(old man, elderly man)",,"answer: entailment  
relations: { entails(old man, elderly man) }","isa_wn(old man, elderly man)",
3612249030.jpg#1r1e,snli,dev,A boy is carrying a black body board across the sand.,The boy is holding an item.,entailment,2,TRUE,,"(body board, item); (carry, hold)",,"(body board, item); (carry, hold)","(body board, item); (carry, hold)",,TRUE,TRUE,,,TRUE,"answer: entailment
relations: { entails(carry, hold), entails(body board, item) }","isa_wn(carry, hold); isa_wn(body board, item)",,"answer: entailment
relations: { entails(carry, hold), entails(body board, item) }","isa_wn(carry, hold); isa_wn(body board, item)",,"answer: entailment
relations: { entails(body board, item) }","isa_wn(body board, item)",,"answer: entailment  
relations: { entails(carry, hold), entails(black body board, item) }","isa_wn(carry, hold); isa_wn(black body board, item)",,"answer: entailment
relations: { entails(body board, item), entails(carry, hold) }","isa_wn(body board, item); isa_wn(carry, hold)",,"answer: entailment
relations: { entails(carry, hold), entails(body board, item) }","isa_wn(carry, hold); isa_wn(body board, item)",,"answer: entailment
relations: { entails(body board, item), entails(carry, hold) }","isa_wn(body board, item); isa_wn(carry, hold)",,"answer: entailment  
relations: { entails(carry, hold), entails(body board, item) }","isa_wn(carry, hold); isa_wn(body board, item)",
3629664676.jpg#4r1e,snli,train,A dog pulling a rope.,The dog drags the rope.,entailment,2,TRUE,,"(pull, drag)","(pull, drag)",,"(pull, drag)",TRUE,,TRUE,,TRUE,,"answer: entailment
relations: { entails(pull, drag) }","isa_wn(pull, drag)",,"answer: entailment
relations: { entails(pull, drag) }","isa_wn(pull, drag)",,"answer: entailment
relations: { entails(pull, drag) }","isa_wn(pull, drag)",,"**answer**: entailment  
**relations**: { entails(pull, drag) }","isa_wn(pull, drag)",,"answer: entailment
relations: { entails(pulling, drag) }","isa_wn(pulling, drag)",,"answer: entailment
relations: { entails(pull, drag) }","isa_wn(pull, drag)",,"answer: entailment
relations: { entails(pull, drag) }","isa_wn(pull, drag)",,"answer: entailment  
relations: { entails(pull, drag) }","isa_wn(pull, drag)",
3639967449.jpg#3r1e,snli,dev,Two boys sitting and eating ice cream.,The boys are eating.,entailment,2,TRUE,,NO_RELATION,,NO_RELATION,NO_RELATION,,TRUE,TRUE,,,TRUE,"answer: entailment
relations: { }",NO_RELATION,,"answer: entailment
relations: { }

explanation: The hypothesis ""The boys are eating"" is a direct simplification of the premise ""Two boys sitting and eating ice cream."" The premise explicitly states that boys are eating ice cream, which necessarily means the boys are eating. No non-trivial lexical entailment relations are needed to explain this entailment, as it follows directly from the semantic content of the premise.",NO_RELATION,,"answer: entailment
relations: { }",NO_RELATION,,"answer: entailment  
relations: { entails(eat ice cream, eat) }","isa_wn(eat ice cream, eat)",,"answer: entailment
relations: { }",NO_RELATION,,"answer: entailment
relations: { }

explanation: The hypothesis ""The boys are eating"" is directly entailed by the premise ""Two boys sitting and eating ice cream"" without requiring any non-trivial lexical relations. The premise explicitly states that the boys are eating (ice cream), and the hypothesis simply asserts that the boys are eating without specifying what they are eating. This is a straightforward entailment that follows from the semantic content of the premise alone.",NO_RELATION,,"answer: entailment
relations: { }",NO_RELATION,,"answer: entailment  
relations: { }",NO_RELATION,
3791591952.jpg#3r1e,snli,dev,Two entertainers on a stage performing acrobatic moves.,Two entertainers are performing acrobatics.,entailment,2,TRUE,,"(acrobatic move, acrobatics)","(acrobatic move, acrobatics)",,"(acrobatic move, acrobatics)",FALSE,,FALSE,,FALSE,,"answer: entailment
relations: { entails(acrobatic moves, acrobatics) }","isa_wn(acrobatic moves, acrobatics)",,"answer: entailment
relations: { entails(acrobatic move, acrobatic) }","isa_wn(acrobatic move, acrobatic)",,"answer: entailment
relations: { entails(acrobatic move, acrobatics) }","isa_wn(acrobatic move, acrobatics)",,"**answer:** entailment  
**relations:** { entails(acrobatic moves, acrobatics) }","isa_wn(acrobatic moves, acrobatics)",,"answer: entailment
relations: { entails(acrobatic move, acrobatics) }","isa_wn(acrobatic move, acrobatics)",,"answer: entailment
relations: { entails(acrobatic move, acrobatic) }","isa_wn(acrobatic move, acrobatic)",,"answer: entailment
relations: { entails(acrobatic move, acrobatics) }","isa_wn(acrobatic move, acrobatics)",,"answer: entailment
relations: { entails(acrobatic moves, acrobatics) }","isa_wn(acrobatic moves, acrobatics)",
3794595430.jpg#3r1e,snli,dev,A woman stands at a podium with a slide show behind her.,A woman is standing at a podium.,entailment,2,TRUE,,NO_RELATION,NO_RELATION,,NO_RELATION,TRUE,,TRUE,,TRUE,,"answer: entailment
relations: { }",NO_RELATION,,"answer: entailment
relations: { }

explanation: The hypothesis is a direct subset of the premise. The premise states ""A woman stands at a podium with a slide show behind her,"" which explicitly contains all the information needed for the hypothesis ""A woman is standing at a podium."" The additional detail about the slide show behind her does not negate or contradict the core claim, so no lexical entailment relations are needed to explain this entailment.",NO_RELATION,,"answer: entailment
relations: { }",NO_RELATION,,"answer: entailment  
relations: { entails(stands, standing) }","isa_wn(stands, standing)",,"answer: entailment
relations: { }",NO_RELATION,,"answer: entailment
relations: { }

explanation: The hypothesis is entailed from the premise without requiring any non-trivial lexical relations. The premise explicitly states ""A woman stands at a podium,"" and the hypothesis simply asserts ""A woman is standing at a podium."" The only difference is the verb form (stands vs. is standing), which are grammatically equivalent present tense forms in English. The additional detail about the slide show in the premise does not negate or contradict the core assertion, so the hypothesis follows directly from the premise.",NO_RELATION,,"answer: entailment
relations: { }",NO_RELATION,,"answer: entailment
relations: { }",NO_RELATION,
381750411.jpg#0r1e,snli,dev,Man dressed in business casual attire playing the saxophone with the rest of a band.,Man plays a woodwind instrument.,entailment,3,TRUE,,,"(saxophone, woodwind instrument)","(saxophone, woodwind instrument)","(saxophone, woodwind instrument)",,,,TRUE,TRUE,TRUE,"answer: entailment
relations: { entails(saxophone, woodwind instrument) }","isa_wn(saxophone, woodwind instrument)",,"answer: entailment
relations: { entails(saxophone, woodwind instrument) }","isa_wn(saxophone, woodwind instrument)",,"answer: entailment
relations: { entails(saxophone, woodwind instrument) }","isa_wn(saxophone, woodwind instrument)",,"answer: entailment  
relations: { entails(saxophone, woodwind instrument) }","isa_wn(saxophone, woodwind instrument)",,"answer: entailment
relations: { entails(saxophone, woodwind instrument) }","isa_wn(saxophone, woodwind instrument)",,"answer: entailment
relations: { entails(saxophone, woodwind instrument) }","isa_wn(saxophone, woodwind instrument)",,"answer: entailment
relations: { entails(saxophone, woodwind instrument) }","isa_wn(saxophone, woodwind instrument)",,"answer: entailment  
relations: { entails(saxophone, woodwind instrument) }","isa_wn(saxophone, woodwind instrument)",
3843254402.jpg#0r1e,snli,test,A man in a white striped shirt and blue jeans using a water hose to spray water on the ground of concrete ruins.Fo.,A man is spraying water on concrete.,entailment,2,TRUE,,NO_RELATION,,NO_RELATION,NO_RELATION,,TRUE,TRUE,,,TRUE,"answer: entailment
relations: { entails(water hose, hose), entails(spray water on the ground, spray water on concrete) }","isa_wn(water hose, hose); isa_wn(spray water on the ground, spray water on concrete)",,"answer: entailment
relations: { entails(water hose, spray), entails(concrete ruins, concrete) }","isa_wn(water hose, spray); isa_wn(concrete ruins, concrete)",,"answer: entailment
relations: { entails(ruin, concrete) }","isa_wn(ruin, concrete)",,"answer: entailment  
relations: {entails(concrete ruins, concrete)}","isa_wn(concrete ruins, concrete)",,"answer: entailment
relations: { entails(water hose, spray), entails(concrete ruins, concrete) }","isa_wn(water hose, spray); isa_wn(concrete ruins, concrete)",,"answer: entailment
relations: { entails(concrete ruin, concrete), entails(water hose, spray) }","isa_wn(concrete ruin, concrete); isa_wn(water hose, spray)",,"answer: entailment
relations: { entails(ruin, concrete) }","isa_wn(ruin, concrete)",,"answer: entailment  
relations: { entails(concrete ruins, concrete) }","isa_wn(concrete ruins, concrete)",
3913959754.jpg#1r1e,snli,dev,"A woman is standing near the water, looks to be throwing something.",A woman is close to the water.,entailment,3,TRUE,,,"(near, close)","(near, close)","(near, close)",,,,TRUE,TRUE,TRUE,"answer: entailment
relations: { entails(near, close) }","isa_wn(near, close)",,"answer: entailment
relations: { entails(near, close to) }","isa_wn(near, close to)",,"answer: entailment
relations: { entails(stand near, be close to) }","isa_wn(stand near, be close to)",,"answer: entailment  
relations: { entails(near, close) }","isa_wn(near, close)",,"answer: entailment
relations: { entails(near, close) }","isa_wn(near, close)",,"answer: entailment
relations: { entails(near, close to) }","isa_wn(near, close to)",,"answer: entailment
relations: { entails(stand near, be close) }","isa_wn(stand near, be close)",,"answer: entailment
relations: { entails(near, close) }","isa_wn(near, close)",
4000008650.jpg#2r1e,snli,train,A woman plays the tuba and another plays the cello on the street.,People playing instruments on the street.,entailment,3,TRUE,,,"(cello, instrument); (tuba, instrument)","(cello, instrument); (tuba, instrument)","(cello, instrument); (tuba, instrument)",,,,FALSE,FALSE,TRUE,"answer: entailment
relations: { entails(tuba, musical instrument), entails(cello, musical instrument), entails(woman, person) }","isa_wn(tuba, musical instrument); isa_wn(cello, musical instrument); isa_wn(woman, person)",,"answer: entailment
relations: { entails(woman, person), entails(tuba, instrument), entails(cello, instrument) }","isa_wn(woman, person); isa_wn(tuba, instrument); isa_wn(cello, instrument)",,"answer: entailment
relations: { entails(woman, person), entails(tuba, instrument), entails(cello, instrument) }","isa_wn(woman, person); isa_wn(tuba, instrument); isa_wn(cello, instrument)",,"**answer:** entailment  
**relations:** { entails(woman, person), entails(tuba, instrument), entails(cello, instrument) }","isa_wn(woman, person); isa_wn(tuba, instrument); isa_wn(cello, instrument)",,"answer: entailment
relations: { entails(woman, person), entails(play the tuba, play instrument), entails(play the cello, play instrument) }","isa_wn(woman, person); isa_wn(play the tuba, play instrument); isa_wn(play the cello, play instrument)",,"answer: entailment
relations: { entails(woman, people), entails(tuba, instrument), entails(cello, instrument), entails(play, play) }","isa_wn(woman, people); isa_wn(tuba, instrument); isa_wn(cello, instrument); isa_wn(play, play)",,"answer: entailment
relations: { entails(tuba, instrument), entails(cello, instrument) }","isa_wn(tuba, instrument); isa_wn(cello, instrument)",,"answer: entailment  
relations: { entails(woman, person), entails(tuba, instrument), entails(cello, instrument) }","isa_wn(woman, person); isa_wn(tuba, instrument); isa_wn(cello, instrument)",
